episode - 117/10000, steps_per_episode = 10
episode - 118/10000, steps_per_episode = 8
episode - 119/10000, steps_per_episode = 9
episode - 120/10000, steps_per_episode = 8
episode - 121/10000, steps_per_episode = 10
episode - 122/10000, steps_per_episode = 9
episode - 123/10000, steps_per_episode = 9
episode - 124/10000, steps_per_episode = 11
episode - 125/10000, steps_per_episode = 13
episode - 126/10000, steps_per_episode = 9
episode - 127/10000, steps_per_episode = 8
episode - 128/10000, steps_per_episode = 8
episode - 129/10000, steps_per_episode = 8
episode - 130/10000, steps_per_episode = 9
episode - 131/10000, steps_per_episode = 8
episode - 132/10000, steps_per_episode = 16
episode - 133/10000, steps_per_episode = 16
episode - 134/10000, steps_per_episode = 16
episode - 135/10000, steps_per_episode = 10
episode - 136/10000, steps_per_episode = 16
episode - 137/10000, steps_per_episode = 8
episode - 138/10000, steps_per_episode = 8
episode - 139/10000, steps_per_episode = 5
episode - 140/10000, steps_per_episode = 10
episode - 141/10000, steps_per_episode = 16
episode - 142/10000, steps_per_episode = 9
episode - 143/10000, steps_per_episode = 11
episode - 144/10000, steps_per_episode = 8
episode - 145/10000, steps_per_episode = 8
episode - 146/10000, steps_per_episode = 16
episode - 147/10000, steps_per_episode = 4
episode - 148/10000, steps_per_episode = 11
episode - 149/10000, steps_per_episode = 8
episode - 150/10000, steps_per_episode = 9
episode - 151/10000, steps_per_episode = 9
episode - 152/10000, steps_per_episode = 10
episode - 153/10000, steps_per_episode = 16
episode - 154/10000, steps_per_episode = 13
episode - 155/10000, steps_per_episode = 15
episode - 156/10000, steps_per_episode = 10
episode - 157/10000, steps_per_episode = 8
episode - 158/10000, steps_per_episode = 5
episode - 159/10000, steps_per_episode = 8
episode - 160/10000, steps_per_episode = 12
episode - 161/10000, steps_per_episode = 16
episode - 162/10000, steps_per_episode = 8
episode - 163/10000, steps_per_episode = 16
episode - 164/10000, steps_per_episode = 9
episode - 165/10000, steps_per_episode = 9
episode - 166/10000, steps_per_episode = 16
episode - 167/10000, steps_per_episode = 8
episode - 168/10000, steps_per_episode = 8
episode - 169/10000, steps_per_episode = 8
episode - 170/10000, steps_per_episode = 6
episode - 171/10000, steps_per_episode = 10
episode - 172/10000, steps_per_episode = 4
episode - 173/10000, steps_per_episode = 5
episode - 174/10000, steps_per_episode = 8
episode - 175/10000, steps_per_episode = 16
episode - 176/10000, steps_per_episode = 16
episode - 177/10000, steps_per_episode = 7
episode - 178/10000, steps_per_episode = 9
episode - 179/10000, steps_per_episode = 16
episode - 180/10000, steps_per_episode = 16
episode - 181/10000, steps_per_episode = 11
episode - 182/10000, steps_per_episode = 8
episode - 183/10000, steps_per_episode = 14
episode - 184/10000, steps_per_episode = 8
episode - 185/10000, steps_per_episode = 16
episode - 186/10000, steps_per_episode = 10
episode - 187/10000, steps_per_episode = 10
episode - 188/10000, steps_per_episode = 8
episode - 189/10000, steps_per_episode = 4
episode - 190/10000, steps_per_episode = 16
episode - 191/10000, steps_per_episode = 8
episode - 192/10000, steps_per_episode = 4
episode - 193/10000, steps_per_episode = 8
episode - 194/10000, steps_per_episode = 8
episode - 195/10000, steps_per_episode = 15
episode - 196/10000, steps_per_episode = 16
episode - 197/10000, steps_per_episode = 9
episode - 198/10000, steps_per_episode = 16
episode - 199/10000, steps_per_episode = 4
episode - 200/10000, steps_per_episode = 8
episode - 201/10000, steps_per_episode = 14
episode - 202/10000, steps_per_episode = 9
episode - 203/10000, steps_per_episode = 7
episode - 204/10000, steps_per_episode = 10
episode - 205/10000, steps_per_episode = 8
episode - 206/10000, steps_per_episode = 8
episode - 207/10000, steps_per_episode = 8
episode - 208/10000, steps_per_episode = 4
episode - 209/10000, steps_per_episode = 8
episode - 210/10000, steps_per_episode = 8
episode - 211/10000, steps_per_episode = 8
episode - 212/10000, steps_per_episode = 9
episode - 213/10000, steps_per_episode = 9
episode - 214/10000, steps_per_episode = 8
episode - 215/10000, steps_per_episode = 16
episode - 216/10000, steps_per_episode = 8
episode - 217/10000, steps_per_episode = 16
episode - 218/10000, steps_per_episode = 16
episode - 219/10000, steps_per_episode = 16
episode - 220/10000, steps_per_episode = 11
episode - 221/10000, steps_per_episode = 7
episode - 222/10000, steps_per_episode = 8
episode - 223/10000, steps_per_episode = 10
episode - 224/10000, steps_per_episode = 16
episode - 225/10000, steps_per_episode = 8
episode - 226/10000, steps_per_episode = 16
episode - 227/10000, steps_per_episode = 9
episode - 228/10000, steps_per_episode = 15
episode - 229/10000, steps_per_episode = 8
episode - 230/10000, steps_per_episode = 10
episode - 231/10000, steps_per_episode = 8
episode - 232/10000, steps_per_episode = 8
episode - 233/10000, steps_per_episode = 8
episode - 234/10000, steps_per_episode = 8
episode - 235/10000, steps_per_episode = 16
episode - 236/10000, steps_per_episode = 8
episode - 237/10000, steps_per_episode = 16
episode - 238/10000, steps_per_episode = 10
episode - 239/10000, steps_per_episode = 16
episode - 240/10000, steps_per_episode = 13
episode - 241/10000, steps_per_episode = 16
episode - 242/10000, steps_per_episode = 8
episode - 243/10000, steps_per_episode = 16
episode - 244/10000, steps_per_episode = 10
episode - 245/10000, steps_per_episode = 16
episode - 246/10000, steps_per_episode = 6
episode - 247/10000, steps_per_episode = 8
episode - 248/10000, steps_per_episode = 8
episode - 249/10000, steps_per_episode = 16
episode - 250/10000, steps_per_episode = 8
episode - 251/10000, steps_per_episode = 8
episode - 252/10000, steps_per_episode = 8
episode - 253/10000, steps_per_episode = 16
episode - 254/10000, steps_per_episode = 8
episode - 255/10000, steps_per_episode = 8
episode - 256/10000, steps_per_episode = 16
episode - 257/10000, steps_per_episode = 7
episode - 258/10000, steps_per_episode = 16
episode - 259/10000, steps_per_episode = 16
episode - 260/10000, steps_per_episode = 16
episode - 261/10000, steps_per_episode = 9
episode - 262/10000, steps_per_episode = 16
episode - 263/10000, steps_per_episode = 16
episode - 264/10000, steps_per_episode = 8
episode - 265/10000, steps_per_episode = 9
episode - 266/10000, steps_per_episode = 13
episode - 267/10000, steps_per_episode = 10
episode - 268/10000, steps_per_episode = 16
episode - 269/10000, steps_per_episode = 16
episode - 270/10000, steps_per_episode = 10
episode - 271/10000, steps_per_episode = 16
episode - 272/10000, steps_per_episode = 8
episode - 273/10000, steps_per_episode = 6
episode - 274/10000, steps_per_episode = 8
episode - 275/10000, steps_per_episode = 16
episode - 276/10000, steps_per_episode = 16
episode - 277/10000, steps_per_episode = 16
episode - 278/10000, steps_per_episode = 8
episode - 279/10000, steps_per_episode = 8
episode - 280/10000, steps_per_episode = 8
episode - 281/10000, steps_per_episode = 8
episode - 282/10000, steps_per_episode = 9
episode - 283/10000, steps_per_episode = 16
episode - 284/10000, steps_per_episode = 5
episode - 285/10000, steps_per_episode = 16
episode - 286/10000, steps_per_episode = 8
episode - 287/10000, steps_per_episode = 8
episode - 288/10000, steps_per_episode = 16
episode - 289/10000, steps_per_episode = 8
episode - 290/10000, steps_per_episode = 9
episode - 291/10000, steps_per_episode = 8
episode - 292/10000, steps_per_episode = 16
episode - 293/10000, steps_per_episode = 16
episode - 294/10000, steps_per_episode = 8
episode - 295/10000, steps_per_episode = 16
episode - 296/10000, steps_per_episode = 5
episode - 297/10000, steps_per_episode = 8
episode - 298/10000, steps_per_episode = 16
episode - 299/10000, steps_per_episode = 8
episode - 300/10000, steps_per_episode = 4
episode - 301/10000, steps_per_episode = 8
episode - 302/10000, steps_per_episode = 10
episode - 303/10000, steps_per_episode = 16
episode - 304/10000, steps_per_episode = 16
episode - 305/10000, steps_per_episode = 16
episode - 306/10000, steps_per_episode = 16
episode - 307/10000, steps_per_episode = 16
episode - 308/10000, steps_per_episode = 11
episode - 309/10000, steps_per_episode = 8
episode - 310/10000, steps_per_episode = 8
episode - 311/10000, steps_per_episode = 8
episode - 312/10000, steps_per_episode = 9
episode - 313/10000, steps_per_episode = 8
episode - 314/10000, steps_per_episode = 16
episode - 315/10000, steps_per_episode = 8
episode - 316/10000, steps_per_episode = 8
episode - 317/10000, steps_per_episode = 8
episode - 318/10000, steps_per_episode = 16
episode - 319/10000, steps_per_episode = 16
episode - 320/10000, steps_per_episode = 9
episode - 321/10000, steps_per_episode = 8
episode - 322/10000, steps_per_episode = 8
episode - 323/10000, steps_per_episode = 8
episode - 324/10000, steps_per_episode = 8
episode - 325/10000, steps_per_episode = 8
episode - 326/10000, steps_per_episode = 16
episode - 327/10000, steps_per_episode = 16
episode - 328/10000, steps_per_episode = 16
episode - 329/10000, steps_per_episode = 13
episode - 330/10000, steps_per_episode = 16
episode - 331/10000, steps_per_episode = 16
episode - 332/10000, steps_per_episode = 12
episode - 333/10000, steps_per_episode = 16
episode - 334/10000, steps_per_episode = 8
episode - 335/10000, steps_per_episode = 16
episode - 336/10000, steps_per_episode = 16
episode - 337/10000, steps_per_episode = 16
episode - 338/10000, steps_per_episode = 16
episode - 339/10000, steps_per_episode = 8
episode - 340/10000, steps_per_episode = 7
episode - 341/10000, steps_per_episode = 8
episode - 342/10000, steps_per_episode = 16
episode - 343/10000, steps_per_episode = 16
episode - 344/10000, steps_per_episode = 16
episode - 345/10000, steps_per_episode = 8
episode - 346/10000, steps_per_episode = 10
episode - 347/10000, steps_per_episode = 8
episode - 348/10000, steps_per_episode = 8
episode - 349/10000, steps_per_episode = 16
episode - 350/10000, steps_per_episode = 16
episode - 351/10000, steps_per_episode = 16
episode - 352/10000, steps_per_episode = 16
episode - 353/10000, steps_per_episode = 8
episode - 354/10000, steps_per_episode = 8
episode - 355/10000, steps_per_episode = 8
episode - 356/10000, steps_per_episode = 8
episode - 357/10000, steps_per_episode = 16
episode - 358/10000, steps_per_episode = 8
episode - 359/10000, steps_per_episode = 16
episode - 360/10000, steps_per_episode = 6
episode - 361/10000, steps_per_episode = 16
episode - 362/10000, steps_per_episode = 16
episode - 363/10000, steps_per_episode = 16
episode - 364/10000, steps_per_episode = 8
episode - 365/10000, steps_per_episode = 16
episode - 366/10000, steps_per_episode = 16
episode - 367/10000, steps_per_episode = 8
episode - 368/10000, steps_per_episode = 16
episode - 369/10000, steps_per_episode = 16
episode - 370/10000, steps_per_episode = 11
episode - 371/10000, steps_per_episode = 8
episode - 372/10000, steps_per_episode = 16
episode - 373/10000, steps_per_episode = 16
episode - 374/10000, steps_per_episode = 8
episode - 375/10000, steps_per_episode = 8
episode - 376/10000, steps_per_episode = 16
episode - 377/10000, steps_per_episode = 8
episode - 378/10000, steps_per_episode = 16
episode - 379/10000, steps_per_episode = 16
episode - 380/10000, steps_per_episode = 8
episode - 381/10000, steps_per_episode = 8
episode - 382/10000, steps_per_episode = 16
episode - 383/10000, steps_per_episode = 8
episode - 384/10000, steps_per_episode = 16
episode - 385/10000, steps_per_episode = 4
episode - 386/10000, steps_per_episode = 16
episode - 387/10000, steps_per_episode = 16
episode - 388/10000, steps_per_episode = 16
episode - 389/10000, steps_per_episode = 8
episode - 390/10000, steps_per_episode = 11
episode - 391/10000, steps_per_episode = 8
episode - 392/10000, steps_per_episode = 8
episode - 393/10000, steps_per_episode = 16
episode - 394/10000, steps_per_episode = 8
episode - 395/10000, steps_per_episode = 8
episode - 396/10000, steps_per_episode = 6
episode - 397/10000, steps_per_episode = 8
episode - 398/10000, steps_per_episode = 16
episode - 399/10000, steps_per_episode = 16
episode - 400/10000, steps_per_episode = 10
episode - 401/10000, steps_per_episode = 8
episode - 402/10000, steps_per_episode = 8
episode - 403/10000, steps_per_episode = 16
episode - 404/10000, steps_per_episode = 8
episode - 405/10000, steps_per_episode = 8
episode - 406/10000, steps_per_episode = 8
episode - 407/10000, steps_per_episode = 16
episode - 408/10000, steps_per_episode = 8
episode - 409/10000, steps_per_episode = 8
episode - 410/10000, steps_per_episode = 16
episode - 411/10000, steps_per_episode = 16
episode - 412/10000, steps_per_episode = 16
episode - 413/10000, steps_per_episode = 13
episode - 414/10000, steps_per_episode = 16
episode - 415/10000, steps_per_episode = 16
episode - 416/10000, steps_per_episode = 16
episode - 417/10000, steps_per_episode = 8
episode - 418/10000, steps_per_episode = 11
episode - 419/10000, steps_per_episode = 16
episode - 420/10000, steps_per_episode = 16
episode - 421/10000, steps_per_episode = 9
episode - 422/10000, steps_per_episode = 16
episode - 423/10000, steps_per_episode = 16
episode - 424/10000, steps_per_episode = 16
episode - 425/10000, steps_per_episode = 16
episode - 426/10000, steps_per_episode = 16
episode - 427/10000, steps_per_episode = 16
episode - 428/10000, steps_per_episode = 16
episode - 429/10000, steps_per_episode = 16
episode - 430/10000, steps_per_episode = 16
episode - 431/10000, steps_per_episode = 8
episode - 432/10000, steps_per_episode = 8
episode - 433/10000, steps_per_episode = 16
episode - 434/10000, steps_per_episode = 8
episode - 435/10000, steps_per_episode = 16
episode - 436/10000, steps_per_episode = 16
episode - 437/10000, steps_per_episode = 8
episode - 438/10000, steps_per_episode = 6
episode - 439/10000, steps_per_episode = 16
episode - 440/10000, steps_per_episode = 8
episode - 441/10000, steps_per_episode = 16
episode - 442/10000, steps_per_episode = 8
episode - 443/10000, steps_per_episode = 8
episode - 444/10000, steps_per_episode = 16
episode - 445/10000, steps_per_episode = 8
